Peripheral Nervous System Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Ilias Ziogas; Fahim Imam,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-9210-2455; 0000-0003-4752-543X,,,,,,,,,,,
Reviewer(s):,Griffin Weber,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM446.ZZZN.837,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
Nerve,NerveID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
suprascapular nerve,FMA:37025,innervates,supraspinatus muscle,UBERON:0002383,999,muscular system,UBERON:0000383,,,,,
inferior subscapular nerve,FMA:65307,innervates,teres major muscle,UBERON:0001478,999,muscular system,UBERON:0000383,,,,,
nerve to teres major,FMA:81300,innervates,teres major muscle,UBERON:0001478,999,muscular system,UBERON:0000383,,,,,
axillary nerve,UBERON:0001493,innervates,teres minor muscle,UBERON:0010496,999,muscular system,UBERON:0000383,,,,,
nerve to teres minor,FMA:65301,innervates,teres minor muscle,UBERON:0010496,999,muscular system,UBERON:0000383,,,,,
posterior branch of axillary nerve,FMA:81286,innervates,teres minor muscle,UBERON:0010496,999,muscular system,UBERON:0000383,,,,,
intercostal nerve,UBERON:0003727,innervates,transversus thoracis,UBERON:0002404,999,muscular system,UBERON:0000383,,,,,
accessory XI nerve,UBERON:0002019,innervates,trapezius muscle,UBERON:0002380,999,muscular system,UBERON:0000383,,,,,
medial muscular branch of radial nerve to triceps brachii,FMA:81226,innervates,triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to humerus,FMA:67953,innervates,humerus,UBERON:0000976,999,skeleton,UBERON:0004288,,,,,
radial nerve,UBERON:0001492,innervates,humerus,UBERON:0000976,999,skeleton,UBERON:0004288,,,,,
